procodigo,pronome
961,CERVEJA SPATEN
1405,CERVEJEIRA
1415,CESTINHA
1180,CESTO FECHADO PRETO C/ TAMPA
1334,CHA MIKA
568,CHAMPAING CHUVA DE PRATA
71,CHAMPIGNON
570,CHANTILLY
825,CHANTILLY
843,CHANTILLY
936,CHANTILLY
150,CHAPÃO ESPECIAL
622,CHAPÃO MODA KUSKÃO
480,CHEEDER
704,CHEEDER
871,CHEEDER
26,CHEIRO VERDE 
742,CHEIRO VERDE
1125,CHIMICHURRI
1255,CHOCO POWER BALL
870,CHOCOLATE 5STAR
77,CHOCOLATE BRANCO
625,CHOCOLATE BRANCO DERETIDO
1017,CHOCOLATE CHARGE
438,CHOCOLATE CHOKITO
977,CHOCOLATE CHOKITO RECOMPENSA
440,CHOCOLATE DIAMANTE NEGRO
797,CHOCOLATE GRANULADO
593,CHOCOLATE PRESTÍGIO
661,CHOCOLATE PRETO
74,CHOCOLATE PRETO COM MORANGO
1030,CHOPP
348,CHOPP CANECO
347,CHOPP TULIPA
353,CHOPP TULIPINHA
329,CHURROS
1053,CHURROS DOCE DE LEITE
297,CITRUS LATA
1394,CLIPS
1350,COB TACAS SELECTA MORANGO
1267,COB. TACAS SELECTA CHOCOLATE (COBERTURA DE CHOCOLATE)
1296,COBERTURA CONFEITEIRO AO LEITE
1095,COBERTURA CONFEITEIRO BRANCO 1,01KG
1115,COBERTURA RASPAR E COBRIR BRANCO
1116,COBERTURA RASPAR E COBRIR LEITE
1219,COCA 1 LITRO
309,COCA 1,5LTRS
849,COCA 2 LITROS RECOMPENSA
898,COCA 2 LITROS RECOMPENSA
313,COCA 2 LTRS
301,COCA 500 ML
292,COCA LATA
951,COCA LATA AIQFOME BLACK FRIDAY
848,COCA LATA RECOMPENSA
901,COCA LATA RECOMPENSA 
305,COCA LATA ZERO
1445,COCA LATA ZERO RECOMPENSA
520,COCA LITRO
316,COCA ZERO 2 LTRS
1397,COCA ZERO 2 LTRS RECOMPENSA
1080,COCO FLOCOS 5KG
78,COCO RALADO
800,COCO RALADO
937,COCO RALADO
1252,COGUMELO INTEIRO
1401,COLA DUREPOXI
1242,COLORAU
1171,COLORETI MINI COLORIDO
1025,COMBO 10 PACOTES DE FIGURINHA DA COPA
995,COMBO FRANGO À PASSARINHO COM BATATA FRITA E CHEEDER + GUARANÁ 2LITROS
1408,CONCHA INOX
541,CONDOMINIO COSTA BRAVA
796,CONFETE DISQUETE
941,CONFETES
548,CONFETES COLORIDOS
836,CONHAQUE
1091,COPO 180ML
617,COPO CANECO VAZIO GOSMEL
862,COPO COM CANUDO PERSONALIZADO
847,COPO COM CANUDO PERSONALIZADO RECOMPENSA
562,COPO DE LARANJA
1396,COPO DE VIDRO 200ML
866,COPO LIMONADA SUÍÇA
1101,COPO TERMICO 400ML
1100,COPO TERMICO 700ML
964,COPO TULIPINHA VAZIA GOSMEL
423,COQUETEL DE FRUTAS ( COM OU SEM ÁLCOOL)
55,CORAÇÃO
30,CORAÇÃO ACEBOLADO
1041,CORAÇÃO DE FRANGO PACOTE MAROMBI
168,CORAÇÃO DE GALINHA
1449,CORONA LONG NECK
1414,COSTELA
1441,COSTELA RIPA
268,COSTELINHA DE PACU À MILANESA
924,COUVE FLOR
1188,COUVE FLOR
262,COUVE REFOGADO
1222,COXA E SOBRECOXA
1389,COXAO DURO
1390,COXAO MOLE
608,CREAM CHEESE
748,CREAM CHEESE
1206,CREME CHANTILLY 
1148,CREME CULINARIO
960,CREME DE ALHO
1136,CREME DE AVELA C/CACAU NUTELLA
569,CREME DE CAFÉ CAPUCCINO
746,CREME DE CUPUAÇU
16,CREME DE LEITE
728,CREME DE LEITE
729,CREME DE LEITE
846,CREME DE LEITE
1072,CREME DE LEITE
1440,CREME DE LEITE
19,CREME DE MILHO
732,CREME DE MILHO
506,CREME DE PAPAIA
328,CUPUAÇU
1335,DESINFETANTE
1139,DETERGENTE YPE NEUTRO
801,DIAMANTE NEGRO
332,DOCE DE LEITE
602,DOCE DE LEITE
603,DOCE DE LEITE
604,DOCE DE LEITE
605,DOCE DE LEITE
798,DOCE DE LEITE 
1156,DOCE DE LEITE 
380,DOSE AMARULA
375,DOSE BALLANTINES
381,DOSE CAMPARI
379,DOSE CAVALINHO BRANCO
377,DOSE CHIVAS ROYAL 12
386,DOSE CONHAQUE
369,DOSE DE BUCHANAS
371,DOSE DE JOHNNIE WALKER BLACK
370,DOSE DE LOGAN
376,DOSE DRURYS
488,DOSE IPIOCA
373,DOSE JACK DANIELS
372,DOSE JOHNNIE WALKER RED
382,DOSE MARTINI
374,DOSE NATU NOBILIS
558,DOSE OLD PAR
378,DOSE PASSPORT
389,DOSE RUM BACARDI
387,DOSE STEINHAGGER
388,DOSE TEQUILA
390,DOSE UNDENBERGUER
922,DOSE VELHO BARREIRO
383,DOSE VODKA COMUM
385,DOSE VODKA ORLOF
384,DOSE VODKA SMIRNOFF
538,DUAS FATIAS DE FRANGO GRELHADO
336,DUPLO CHOPP CANECO ATÉ 19 HORAS
1012,e oregano
1129,EMBALAGEM DE ISOPOR HM03
1108,EMBALAGEM DE ISOPOR HM05
1109,EMBALAGEM DE ISOPOR HM07
1111,EMBALAGEM DE ISOPOR M101
1112,EMBALAGEM DE ISOPOR M102
1110,EMBALAGEM DE ISOPOR M104 800ML
1130,EMBALAGEM DE ISOPOR M104G 1100ML
1245,EMBALAGEM DE ISOPOR MO 100 TAMPA
1160,EMBALAGEM DE ISOPOR MO 100-4
1416,EMBALAGEM DE PIZZA 20CM
1406,EMBALAGEM DE PIZZA 25CM
1371,EMBALAGEM DE PIZZA 30CM
1372,EMBALAGEM DE PIZZA 35CM
1402,EMBALAGEM DE PIZZA 40CM
1442,EMBALAGEM DE PIZZA IN BOX
1373,EMBALAGEM DE PIZZA MEIO METRO
1205,EMBALAGEM G307 KIT POTE 145ML
489,EMBALAGEN
1383,ENERGETICO POWER 2L
318,ENERGÉTICO RED BULL
1126,ERVAS FINAS
13,ERVILHA
724,ERVILHA
910,ERVILHA
1068,ERVILHA
723,ERVLHA
1098,ESC SANTA MARIA OVAL
662,ESCONDIDINHO DE BATATA DOCE
1145,ESFREGAO
1144,ESMALTE
194,ESPECIAL
114,ESPECIAL NO PRATO 
1193,ESPONJA AÇO INOX
1056,ESPONJA SCOTCH
649,ESPUMA DE GENGIBRE
1337,ESPUMA DE GENGIBRE
144,ESTROGONOF DE FILÉ 
69,ESTROGONOF DE FRANGO
226,ESTROGONOFE DE FRANGO
31,ESTROGONOFF DE FILE
1011,estrogonoff de frango
1074,EXTRATO DE TOMATE
1186,F. REQUEIJÃO NESTLE
1279,FACA BRANCA
1385,FACA TRAMONTINA
545,FANTA 1 LITRO
954,FANTA 2 LITROS AIQFOME BLACK FRIDAY
442,FANTA 2 LTRS
294,FANTA LATA
298,FANTA UVA LATA
1231,FARINHA DE ROSCA
1218,FARINHA DE TRIGO ANACONDA
1295,FAROFA 
1292,FAROFA DE BACON
518,FEIJÃO
1133,FEIJAO CARIOCA
47,FEIJÃO TROPEIRO
1155,FERMENTO 
1364,FIGADO
59,FIGO
1079,FIGO EM CALDA 4,4KG
896,FILÉ
122,FILÉ À CAVALO
128,FILÉ À CUBANA
132,FILÉ Á FRANCESA
130,FILÉ À MODA DA CASA
137,FILÉ À MONALIZA
166,FILÉ Á PALITO
124,FILÉ ACEBOLADO
99,FILÉ ACEBOLADO 100 GRAMAS
245,FILÉ ALTO GRELHADO COM MOLHO MADEIRA
138,FILÉ AO ALHO E CATUPIRY
676,FILÉ AO BARBECUE
142,FILÉ AO MOLHO DE ALCAPARRA
140,FILÉ AOS QUATRO QUEIJOS
572,FILÉ APARMEGINANA NO PRATO INDIVIDUAL
640,FILÉ CALEGARO PERSONALIZADO NO PRATO
115,FILÉ COBERTO COM PRESUNTO
44,FILÉ DE FRANGO
280,FILÉ DE FRANGO À MILANESA
263,FILÉ DE FRANGO GRELHADO
220,FILÉ DE PEITO DE FRANGO
240,FILÉ DE PEIXE A BAIANA
238,FILÉ DE PEIXE COM CHAMPIGNON
228,FILÉ DE PINTADO
282,FILÉ DE PINTADO Á MILANESA
517,FILÉ DE PINTADO APARMEGIANA
230,FILÉ DE PINTADO ENSOPADO
283,FILÉ DE PINTADO ENSOPADO
290,FILÉ DE PINTADO GRELHADO
560,FILÉ DE PINTADO GRELHADO ALACARTE
1340,FILÉ DE TILAPIA
1357,FILÉ DE TILÁPIA
564,FILÉ DE TILÁPIA À MILANESA
577,FILÉ DE TILÁPIA GRELHADO 100 GRAMAS
453,FILÉ DE TILÁPIA NO PRATO
28,FILÉ GRELHADO 
250,FILÉ GRELHADO
487,FILÉ GRELHADO
256,FILÉ GRELHADO COBERTO COM ALHO E CATUPIRY
257,FILÉ GRELHADO COBERTO COM MOLHO 4 QUEIJOS
252,FILÉ GRELHADO COM MOLHO ROSE
249,FILÉ GRELHADO GRATINADO COM MUSSARELA
500,FILÉ MEDALHÃO AO MOLHO MADEIRA
244,FILÉ MIGNON À MILANESA
242,FILÉ MIGNON À MILANESA COM MOLHO SUGO
258,FILÉ MIGNON AO MOLHO DE ALCAPARRA 
43,FILÉ MIGNON GRELHADO PEDAÇO ALACARTE
126,FILÉ MOLHO MADEIRA
492,FILÉ MOLHO MOSTARDA
134,FILÉ MONTE CARLOS
452,FILÉ NO PRATO
254,FILÉ RECHEADO COM PRESUNTO E MUSSARELA Á MILANESA
563,FILÉ TILÁPIA À MILANESA ALACARTE
1052,FILTRO PERMANENTE CAFÉ
1234,FITA DUREX
970,FLÉ MIGNON
526,FLOCOS PRETO FLOCOS BRANCO
1158,FORMA LASANHA
1331,FOSFORO
218,FRANGO A CUBANA
212,FRANGO A DELÍCIA
272,FRANGO À MILANESA
278,FRANGO À MILANESA COM MOLHO SUGO
281,FRANGO A MILANEZA RECHEADO COM PRESUNTO E MUSSARELA
224,FRANGO A MONALIZA
216,FRANGO A MONTE CARLOS
271,FRANGO À PASSARINHO
162,FRANGO A PASSARINHO AO ALHO E OLEO
170,FRANGO A PASSARINHO COM POLENTA
853,FRANGO Á PASSARINHO E BATATA FRITA INDIVIDUAL RECOMPENSA
994,FRANGO A PASSARINHO E MILANESA
641,FRANGO CALEGARO NO PRATO
68,FRANGO CATUPIRY
11,FRANGO DESFIADO
93,FRANGO DESFIADO
699,FRANGO DESFIADO
700,FRANGO DESFIADO
701,FRANGO DESFIADO
918,FRANGO GRELHADO
966,FRANGO GRELHADO
504,FRANGO GRELHADO AO MOLHO BRANCO
889,FRANGO MODA KUSKÃO
996,FRANGO MODA KUSKÃO
450,FRANGO NO PRATO
482,FRAPE 
1333,FRUTAS DESIDRATADA
1410,FUBA
1300,G 310 POTE 250ML
1299,G 315 POTE 1000ML
1120,G3500 GARRAFA 1000ML
1251,GARFO BRANCO
1175,GARRAFA 300ML
406,GARRAFA DE VINHO CONCHA Y TORO
405,GARRAFA DE VINHO SANTA HELENA
1170,GARRAFA PET 1L
1174,GARRAFA PET 500ML
1191,GAS ONU 1075 GLP 2.1
1362,GELEIA
650,GELO
819,GELO
1301,GENGIBRE
986,GIN AÇAI
989,GIN LAGOA AZUL
988,GIN MELÂNCIA
985,GIN TÔNICA
987,GIN TROPICAL
648,GINGER BEER
81,GOIABADA
1247,GOIABADA
1117,GOTAS CHIPSHOW LEITE
1392,GRAMPEADOR
1388,GRANDE CALABRESA + PEQUENA BRIGADEIRO + GUARANÁ 2LITROS
887,GRANDE COMBO AIQFOME
1391,GRANDE MODA DA CASA
587,GRANOLA
933,GRANOLA
1260,GRANOLA 
942,GRANULADO
1254,GRANULADO
82,GRANULADO DE BRIGADEIRO
660,GRAPEFRUIT
29,GRATINADA COM MUSSARELA
310,GUARANÁ 1 LT 1\2
952,GUARANÁ 2 LITROS AIQFOME BLACK FRIDAY
978,GUARANA 2 LITROS RECOMPENSA
314,GUARANÁ 2 LTRS
302,GUARANÁ 600 ML
293,GUARANÁ LATA
361,GUARANÁ LITRO
317,GUARANÁ ZERO 2 LTRS
300,GUARANÁ ZERO LATA
1176,GUARDANAPO DE PAPEL
460,H2O 500 ML
975,H2O 500ML  RECOMPENSA
1382,HALLS CEREJA
1019,HALLS EXTRA FORTE PRETO
509,HALLS MENTA
1381,HALLS MENTHOL
90,HAMBÚRGUER
1066,HAMBURGUER
465,HAMBURGUER 2
609,HAMBURGUER ARTESANAL 
606,HAMBURGUER ARTESANAL KUSKÃO
851,HAMBÚRGUER ARTESANAL KUSKÃO RECOMPENSA
904,HAMBURGUER ARTESANAL MODA KUSKÃO RECOMPENSA
1312,HAMBÚRGUER COMPLETO
630,HAMBURGUER DE PINTADO ARTESANAL
631,HAMBURGUER DE PINTADO ARTESANAL
1006,HAMBURGUER ESPECIAL
1311,HAMBÚRGUER SABOROSO
1309,HAMBÚRGUER SIMPLES
1310,HAMBÚRGUER TENTAÇÃO
420,HAVAI
483,HEINEKEN LONG NECK
976,HEINEKEN LONG NECK RECOMPENSA
485,HEINEKEN ZERO
396,HI-FI LARANJA VODKA E GELO
652,HORTELÃ
822,HORTELÃ
364,ICE BLUE LONG NECK
418,ICE COFF
320,ICE SMIRNOFF
785,INDIVIDUAL  MACARRÃO Á BOLONHESA
784,INDIVIDUAL  MACARRÃO ALHO E ÓLEO
783,INDIVIDUAL LASANHA BOLONHESA
782,INDIVIDUAL LASANHA DE FRANGO
906,INDIVIDUAL LASANHA ESPECIAL ( FRANGO CHAMPIGNON MILHO AZEITONA SEM CAROSO)
903,INDIVIDUAL PORÇÃO BATATA FRITA COM FRANGO Á PASSARINHO RECOMPENSA
902,INDIVIDUAL PORÇÃO BATATA FRITA RECOMPENSA
786,INDIVIDUAL YAKISOBA
1336,INSETICIDA
404,JARRA DE VINHO BRANCO SECO
403,JARRA DE VINHO BRANCO SUAVE
402,JARRA DE VINHO TINTO SECO
401,JARRA DE VINHO TINTO SUAVE
38,JARRA LARANJA
525,JARRA LIMONADA SUIÇA 
867,JARRA LIMONADA SUIÇA
534,JARRA SUCO LARANJA
579,KETCHUP
1324,KETCHUP GALÃO
997,KIDS BATATA FRITA 100G
998,KIDS BATATA FRITA E FRANGO À MILANESA KIDS 100G
1088,KIT GAR/FACA SACHE
585,KIWI
935,KIWI
1141,KIWI
612,LAKA CHOCOLATE
816,LARANJA
1281,LARANJA
761,LARANJA E ACEROLA
762,LARANJA E MORANGO 
514,LARANJA JARRA
321,LARANJA SALÃO
769,LARANJA, BANANA E AÇAI
767,LARANJA, CENOURA E MAMÃO
768,LARANJA, LIMÃO, COUVE E GENGIBRE
764,LARANJA, MAMÃO E ACEROLA
813,LASANHA BOLONHESA
812,LASANHA DE FRANGO
535,LAZANHA BOLONHESA 
496,LAZANHA DE FRANGO 
255,LEGUMES
479,LEITE
76,LEITE CONDENSADO
683,LEITE CONDENSADO
684,LEITE CONDENSADO
686,LEITE CONDENSADO 
824,LEITE CONDENSADO
930,LEITE CONDENSADO
1217,LEITE CONDENSADO
664,LEITE DE COCO
1153,LEITE DE COCO
1284,LEITE EM PÓ
1210,LEITE LACBOM
586,LEITE NINHO
934,LEITE NINHO
656,LICOR COINTREAU
838,LICOR DE CAFÉ
837,LICOR DE CHOCOLATE
830,LICOR DE LARANJA
658,LICOR DE PÊSEGO
921,LICOR FRANGELICO
1304,LICOR STOCK CREME CACAU
502,LIMÃO
815,LIMÃO
1322,LIMÃO
1374,LIMÃO E ERVAS FINAS
508,LIMONADA SUIÇA 
359,LIMONETO H2O
1132,LIMPA ALUMINIO
1057,LIMPADOR VEJA
790,LINGUIÇA CASEIRA
810,LINGUIÇA CASEIRA
949,LINGUIÇA CASEIRA
791,LINGUIÇA CASEIRA MODA KUSKÃO
1004,LINGUIÇA CASEIRA MODA KUSKÃO
559,LINGUIÇA TOSCANA
909,LITRO DE CHOOP BRAHMA RECOMPENSA
907,LITRO DE CHOPP BRAHMA 
21,LOMBINHO
739,LOMBINHO
1343,LOMBO EXCELENCIA CANADENSE
1239,LOURO 
1236,LUVA LATEX
1235,LUVA MILTI USO AMARELA
1257,LUVA VINIL
536,MACARRÃO Á BOLONHESA
523,MACARRÃO ALHO OLEO
1269,MACARRAO GALO
1190,MACARRÃO LIANE
1192,MACARRAO RENATA
49,MADIOCA COZIDA NA AGUA
522,MAIONESE
1076,MAIONESE BALDE 3 KG
1330,MAIONESE HELLMANNS 335 G CHURRASCO
829,MALIBU
330,MAMÃO
1194,MAMAO PAPAYA
1229,MANDIOCA
260,MANDIOCA COZIDA
45,MANDIOCA FRITA
182,MANDIOCA FRITA
873,MANDIOCA FRITA
333,MANGA
840,MANGA 
766,MANGA E MARACUJÁ
